row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
513,20,96,91,0,20,0,0,0,0,707
514,15,110,103,0,14,0,0,0,0,707
515,18,120,122,0,88,0,0,0,0,707
516,18,120,122,0,88,0,0,0,0,707
517,4,126,123,0,28,0,0,0,0,707
518,14,131,127,0,18,0,0,0,0,707
519,53,93,88,0,24,0,0,0,0,897
520,20,96,91,0,20,0,0,0,0,897
521,15,110,103,0,14,0,0,0,0,897
522,18,120,122,0,88,0,0,0,0,897
523,18,120,122,0,88,0,0,0,0,897
524,4,126,123,0,28,0,0,0,0,897
525,14,131,127,0,18,0,0,0,0,897
526,48,143,141,0,11,0,1,0,0,352
527,53,93,88,0,24,0,0,0,0,217
528,20,96,91,0,20,0,0,0,0,217
529,15,110,103,0,14,0,0,0,0,217
530,18,120,122,0,88,0,0,0,0,217
531,18,120,122,0,88,0,0,0,0,217
532,4,126,123,0,28,0,0,0,0,217
533,14,131,127,0,18,0,0,0,0,217
534,53,93,88,0,24,0,0,0,0,503
535,20,96,91,0,20,0,0,0,0,503
536,15,110,103,0,14,0,0,0,0,503
537,18,120,122,0,88,0,0,0,0,503
538,18,120,122,0,88,0,0,0,0,503
539,4,126,123,0,28,0,0,0,0,503
540,14,131,127,0,18,0,0,0,0,503
541,53,93,88,0,24,0,0,0,0,637
542,20,96,91,0,20,0,0,0,0,637
543,15,110,103,0,14,0,0,0,0,637
544,18,120,122,0,88,0,0,0,0,637
545,18,120,122,0,88,0,0,0,0,637
546,4,126,123,0,28,0,0,0,0,637
547,14,131,127,0,18,0,0,0,0,637
548,53,93,88,0,24,0,0,0,0,1087
549,20,96,91,0,20,0,0,0,0,1087
550,15,110,103,0,14,0,0,0,0,1087
551,18,120,122,0,88,0,0,0,0,1087
552,18,120,122,0,88,0,0,0,0,1087
553,4,126,123,0,28,0,0,0,0,1087
554,14,131,127,0,18,0,0,0,0,1087
555,53,93,88,0,24,0,0,0,0,870
556,20,96,91,0,20,0,0,0,0,870
557,15,110,103,0,14,0,0,0,0,870
558,18,120,122,0,88,0,0,0,0,870
559,18,120,122,0,88,0,0,0,0,870
560,4,126,123,0,28,0,0,0,0,870
561,14,131,127,0,18,0,0,0,0,870
562,41,63,59,0,99,0,1,0,0,334
563,18,120,122,0,88,0,0,0,0,624
564,18,120,122,0,88,0,0,0,0,624
565,4,126,123,0,28,0,0,0,0,624
