name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
12882,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12883,-1,1,-1,3969,5679,-1,-1,-1,1,3943
12884,-1,1,-1,-1,5680,-1,-1,-1,1,-1
12885,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12886,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12887,-1,1,-1,3970,5681,-1,-1,-1,1,3944
12888,-1,1,-1,3970,5682,-1,-1,-1,1,3944
12889,-1,1,-1,3971,5683,-1,-1,-1,1,3945
12890,-1,1,-1,3972,5684,-1,-1,-1,1,3946
12891,-1,1,-1,-1,5685,-1,-1,-1,1,-1
12892,-1,1,-1,-1,5686,-1,-1,-1,1,-1
12893,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12894,-1,1,-1,3973,5687,-1,-1,-1,1,3947
12895,-1,1,-1,3974,5688,-1,-1,-1,1,3948
12896,-1,1,-1,3975,5689,-1,-1,-1,1,3949
12897,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12898,-1,1,-1,3976,5690,-1,-1,-1,1,3950
12899,-1,1,-1,3977,5691,-1,-1,-1,1,3951
12900,-1,1,-1,3977,5692,-1,-1,-1,1,3951
12901,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12902,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12903,-1,1,-1,3977,5693,830,-1,-1,1,3951
12904,-1,1,-1,3978,5694,-1,-1,-1,1,3952
12905,-1,1,-1,-1,5695,-1,-1,-1,1,-1
12906,-1,1,-1,-1,5696,-1,-1,-1,1,-1
12907,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12908,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12909,-1,1,-1,-1,5697,-1,-1,-1,1,-1
12910,-1,1,-1,3979,5698,-1,-1,-1,1,3953
12911,-1,1,-1,-1,5699,-1,-1,-1,1,-1
12912,-1,1,-1,3980,5700,-1,-1,-1,1,3954
12913,-1,1,-1,3981,5701,-1,-1,-1,1,3955
12914,-1,1,-1,-1,-1,831,-1,-1,1,-1
12915,-1,1,69,-1,-1,832,-1,-1,1,-1
12916,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12917,-1,1,-1,-1,5702,-1,-1,-1,1,-1
12918,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12919,-1,1,-1,3982,5703,-1,-1,-1,1,3956
12920,-1,1,-1,3983,5703,-1,-1,-1,1,3957
12921,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12922,-1,1,-1,3984,-1,-1,-1,-1,1,3958
12923,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12924,-1,1,-1,-1,5703,-1,-1,-1,1,-1
12925,-1,1,-1,3985,5704,-1,-1,-1,1,3959
12926,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12927,-1,1,-1,-1,5705,-1,-1,-1,1,-1
12928,-1,1,-1,3986,-1,-1,-1,-1,1,3960
12929,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12930,-1,1,-1,-1,5706,-1,-1,-1,1,-1
12931,-1,1,-1,3987,5707,-1,-1,-1,1,3961
12932,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12933,-1,1,-1,-1,-1,833,-1,-1,1,-1
12934,-1,1,-1,-1,5708,-1,-1,-1,1,-1
12935,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12936,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12937,-1,1,-1,3988,5709,-1,-1,-1,1,3962
12938,-1,1,-1,3988,5710,-1,-1,-1,1,3962
12939,-1,1,-1,-1,5711,-1,-1,-1,1,-1
12940,-1,1,-1,-1,5712,-1,-1,-1,1,-1
12941,-1,1,-1,3988,5713,-1,-1,-1,1,3962
12942,-1,1,-1,-1,-1,-1,-1,-1,1,-1
12943,-1,1,-1,3988,5714,-1,-1,-1,1,3962
12944,-1,1,-1,3988,5715,-1,-1,-1,1,3962
